Fecha,Area_Predicha_km2,Altura_Predicha_m,Incertidumbre_Area_km2,Incertidumbre_Altura_m
2025-06-07,0.10099854484728069,1.397179667862142,0.05410143114062107,0.15343864385087377
2025-06-08,0.19978895524014806,1.5909246635964063,0.05410143114062107,0.15343864385087377
2025-06-09,0.3346787677270875,1.8451186855601724,0.05410143114062107,0.15343864385087377
2025-06-10,0.44672276045140813,2.0584024817379434,0.05410143114062107,0.15343864385087377
2025-06-11,0.520280122714867,2.205587834490982,0.05410143114062107,0.15343864385087377
2025-06-12,0.5391472728260547,2.2500038418561608,0.05410143114062107,0.15343864385087377
2025-06-13,0.5082476529168173,2.200364304392525,0.05410143114062107,0.15343864385087377
2025-06-14,0.45120028173277665,2.0965270329289485,0.05410143114062107,0.15343864385087377
2025-06-15,0.40034820895997614,1.9983142820518727,0.05410143114062107,0.15343864385087377
2025-06-16,0.3637500097725073,1.9271511170833096,0.05410143114062107,0.15343864385087377
2025-06-17,0.343561183414501,1.8897410391888636,0.05410143114062107,0.15343864385087377
2025-06-18,0.3354674514323297,1.8772410117398393,0.05410143114062107,0.15343864385087377
2025-06-19,0.3348605909891038,1.8797307025836771,0.05410143114062107,0.15343864385087377
2025-06-20,0.3373787845369022,1.8880984217061774,0.05410143114062107,0.15343864385087377
2025-06-21,0.3413878497551204,1.898545552047784,0.05410143114062107,0.15343864385087377
2025-06-22,0.34561798457848386,1.9088183434121506,0.05410143114062107,0.15343864385087377
2025-06-23,0.34894444884290615,1.917196103923955,0.05410143114062107,0.15343864385087377
2025-06-24,0.35070455346340096,1.9225949524404606,0.05410143114062107,0.15343864385087377
2025-06-25,0.3507324572834479,1.9247031785083064,0.05410143114062107,0.15343864385087377
2025-06-26,0.34932306913926153,1.9240325363897146,0.05410143114062107,0.15343864385087377
2025-06-27,0.3476463885105894,1.9225782441684036,0.05410143114062107,0.15343864385087377
2025-06-28,0.3463096380146565,1.9216344968373986,0.05410143114062107,0.15343864385087377
2025-06-29,0.3455113903580819,1.9217300499507113,0.05410143114062107,0.15343864385087377
2025-06-30,0.3451846024914079,1.9227689317979222,0.05410143114062107,0.15343864385087377
2025-07-01,0.34401460353776325,1.8908479310140585,0.05410143114062107,0.15343864385087377
2025-07-02,0.33576593922495396,1.873401077605111,0.05410143114062107,0.15343864385087377
2025-07-03,0.3287138374840698,1.8605106240171847,0.05410143114062107,0.15343864385087377
2025-07-04,0.3268380782480084,1.8576320220181106,0.05410143114062107,0.15343864385087377
2025-07-05,0.32696923517056925,1.8589355123111346,0.05410143114062107,0.15343864385087377
2025-07-06,0.32827788812866043,1.863163395594526,0.05410143114062107,0.15343864385087377
