Fecha,Area_km2,Volumen_km3,Tipo
2019-05-29,117.235,11.723500000000001,Histórico
2020-01-01,125.06540000000001,12.506540000000001,Histórico
2020-06-27,103.68990000000001,10.368990000000002,Histórico
2021-05-05,105.73060000000001,10.573060000000002,Histórico
2021-06-17,118.3401,11.834010000000001,Histórico
2021-06-22,124.81620000000001,12.481620000000001,Histórico
2023-01-18,102.68900000000001,10.268900000000002,Histórico
2023-01-18,104.0099,10.40099,Histórico
2023-06-19,112.5926,11.259260000000001,Histórico
2023-06-19,112.57180000000001,11.257180000000002,Histórico
2025-02-26,100.01270000000001,10.001270000000002,Histórico
2025-06-07,113.27289803683654,11.507056716033487,Predicción
2025-06-08,113.26598550854023,11.556350644127434,Predicción
2025-06-09,113.25895537948102,11.605660339735584,Predicción
2025-06-10,113.25180972998723,11.65498581817411,Predicción
2025-06-11,113.2445506745715,11.704327090088787,Predicción
2025-06-12,113.2371803613051,11.753684161451847,Predicción
2025-06-13,113.2297009711823,11.803057033560215,Predicción
2025-06-14,113.222114717475,11.852445703035116,Predicción
2025-06-15,113.21442384507768,11.901850161823083,Predicción
2025-06-16,113.20663062984325,11.951270397198334,Predicción
2025-06-17,113.19873737790947,12.000706391766549,Predicción
2025-06-18,113.19074642501657,12.050158123469998,Predicción
2025-06-19,113.18266013581608,12.09962556559409,Predicción
2025-06-20,113.17448090317107,12.14910868677526,Predicción
2025-06-21,113.16621114744807,12.198607451010263,Predicción
2025-06-22,113.15785331580085,12.24812181766682,Predicción
2025-06-23,113.14940988144625,12.297651741495645,Predicción
2025-06-24,113.14088334293234,12.347197172643833,Predicción
2025-06-25,113.13227622339905,12.396758056669617,Predicción
2025-06-26,113.12359106983152,12.446334334558472,Predicción
2025-06-27,113.11483045230642,12.495925942740584,Predicción
2025-06-28,113.10599696323143,12.545532813109656,Predicción
2025-06-29,113.09709321657807,12.595154873043064,Predicción
2025-06-30,113.08812184710825,12.64479204542335,Predicción
2025-07-01,113.07908550959449,14.636847840803398,Predicción
2025-07-02,113.06998687803448,14.744088471302586,Predicción
2025-07-03,113.06082864485965,14.851343956162069,Predicción
2025-07-04,113.05161352013857,14.958614200526437,Predicción
2025-07-05,113.04234423077487,15.065899105172718,Predicción
2025-07-06,113.03302351970044,15.173198566539714,Predicción
